person,occupation,race,sex,cover_age,cover_Blackgirl,cover_pose,cover_color,masthead_color,cover_headline,cover_headline2,Cover Story Page Start,wellknown_theme: Is the cover subject widely known at the time of the issue?,"freedomstruggle_theme: Is the fight for civil, human, or labor rights the center of the issue or organizing efforts appear through the headlines?","womensrights_theme: Is the cover a focus/emphasis on equal access and opportunity for children, women, or families?","education_youth_theme: Is the cover related to schooling, education, or youthhood?","statepower_theme: Is the state (government, surveillance, police, courts, law) a main subject or object of attention on this cover? Is the boogeyman of white supremacy explicit/implicit?","beautybodyimage_theme: Is the subject's pose, body image, and/or caption related to being ""pretty""? ",diaspora_poc_theme: Is the subject a non-black poc or connected to the African diaspora? ,erasure_theme,ordinaryexcellence_everyday_theme: Are they an everyday subject doing extra-ordinary and extraordinary things?,,has_wikipedia,has_nytimes,has_courtrecords,has_socialdescendants,in_archivegrid,in_repository,cover_number,year,issue_order,issue_number,link_issue,,,,,,,Notes,Misc
Carrie Miller,Model,African American ,Female,,1,SEAT,Red,Black,Cuddlesome Chicago teen-ager is model for beauty products ,Lady bird' Johnson Plays Santa Claus to Negro Children,,No,Yes ,No,No,No ,Yes ,No,,Yes,,,,,,,Unknown,1,1964,1,"Vol. 25, No. 11",https://books.google.com/books?id=HcIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false ,,,,,,,,
Dinah Washington,Singer,African American ,Female,,1,GROUP,Purple,White,Dinah's Best Kept Secret ,What's Ahead For Negroes In 1964?,54-62,Yes,Yes ,No,No,No ,Yes ,No,Yes,Yes,,,,,,,Yes,2,1964,2,"Vol. 25, No. 12",https://books.google.com/books?id=GcIDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=false ,,,,,,,,
Jill Beasley,Student ,African American ,Female,,1,FULL,Red,White," Nation's Newest Debutantes
Jill Beasley: Pretty Chicago-born deb is prep school senior, speaks French and Spanish languages ",Why LBJ Must Help Pass Civil Rights Bill This Year,42-43,No,Yes ,Yes ,Yes,Yes,Yes ,Yes ,,Yes,,,,,,,,3,1964,3,"Vol. 25, No. 13",https://books.google.com/books?id=2cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Lynn Jordan ,Model,African American ,Female,,1,PROF,Blue,White,"Model Of Many Modes 
Lynn Jordan: Attractive New Yorker models everything from sweaters to swim suits at fashion shows and annual boat exhibits.",Why Minister Quit $1 Million Baptist Church ,42-43,No,No,No,No,No ,Yes ,No,,Yes,,,,,,,,4,1964,4,"Vol. 25, No. 14",https://books.google.com/books?id=6cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Orlando Wilson,Law Enforcement,White ,Male,,0,GROUP,Red,White,"Chicago Police Cadet Program 
Supt. Orlando Wilson: Head of Chicago's police department poses with cadets Clifford Ivey (r) and Tom Mackiney",What's Behind Crisis in Panama? ,,No,No,No,No,Yes,No,Yes,,Yes,,,,,,,,5,1964,5,"Vol. 25, No. 15",https://books.google.com/books?id=4MEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl T. Rowan,Journalist,African American ,Male,,0,GROUP,Blue,White,"New Chief Of America's Info Agency 
Carl T. Rowan: Former Ambassador to Finland and prize-winning journalist succeeds the famed Edward R. Murrow",Will Atlanta Become Another Birmingham? ,,Yes,Yes,No,No,Yes,No,No,,No,,,,,,,,6,1964,6,"Vol. 25, No. 16",https://books.google.com/books?id=28EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coretta Scott King,Organizer; Singer,African American ,Female,,1,HEAD,yellow,Black,Untold Story Of Wives Behind Negro Freedom Fighters ,Pregnancy Among Pre-Teens: Growing National Problem ,22-28,Yes,Yes,Yes,No,No,No,No,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,7.1,1964,7,"Vol. 25, No. 17",https://books.google.com/books?id=-cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,https://books.google.com/books?id=-cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,https://books.google.com/books?id=-cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false
Aminda Badeau ,Social Worker,African American ,Female,,1,HEAD,Yellow,Black,,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,,,,,,,7.2,1964,7,"Vol. 25, No. 17",,,,,https://www.nytimes.com/2009/12/18/us/18myoung.html,,,,
